0 errors cleared
t=0 V=3.58905 A=0.00825995 W=0.0296454 mAh_cumul=0 Wh_cumul=0 
t=1 V=3.58906 A=0.00825291 W=0.0296202 mAh_cumul=0.00229247 Wh_cumul=8.22783e-06 
t=2 V=3.59898 A=0.132596 W=0.47721 mAh_cumul=0.0391247 Wh_cumul=0.000140786 
t=3 V=3.59898 A=0.129326 W=0.465442 mAh_cumul=0.0750486 Wh_cumul=0.000270076 
t=4 V=3.59898 A=0.127345 W=0.458312 mAh_cumul=0.110422 Wh_cumul=0.000397385 
t=5 V=3.599 A=0.125825 W=0.452844 mAh_cumul=0.145374 Wh_cumul=0.000523175 
t=6 V=3.59901 A=0.124564 W=0.448307 mAh_cumul=0.179975 Wh_cumul=0.000647704 
t=7 V=3.599 A=0.123151 W=0.44322 mAh_cumul=0.214183 Wh_cumul=0.000770821 
t=8 V=3.59899 A=0.121803 W=0.438368 mAh_cumul=0.248017 Wh_cumul=0.00089259 
t=9 V=3.599 A=0.120703 W=0.43441 mAh_cumul=0.281546 Wh_cumul=0.00101326 
t=10 V=3.59902 A=0.119567 W=0.430324 mAh_cumul=0.314759 Wh_cumul=0.00113279 
t=11 V=3.599 A=0.118586 W=0.426791 mAh_cumul=0.3477 Wh_cumul=0.00125135 
t=12 V=3.59902 A=0.117645 W=0.423407 mAh_cumul=0.380379 Wh_cumul=0.00136896 
t=13 V=3.599 A=0.116825 W=0.420453 mAh_cumul=0.41283 Wh_cumul=0.00148575 
t=14 V=3.59904 A=0.11592 W=0.417201 mAh_cumul=0.44503 Wh_cumul=0.00160164 
t=15 V=3.59904 A=0.115088 W=0.414206 mAh_cumul=0.476999 Wh_cumul=0.0017167 
t=16 V=3.59901 A=0.114405 W=0.411745 mAh_cumul=0.508778 Wh_cumul=0.00183107 
t=17 V=3.59901 A=0.113526 W=0.408581 mAh_cumul=0.540313 Wh_cumul=0.00194457 
